Lookup,fips
IAadair,19001
IAadams,19003
IAappanoose,19007
IAaudubon,19009
IAbenton,19011
IAblackhawk,19013
IAboone,19015
IAbremer,19017
IAbuchanan,19019
IAbuenavista,19021
IAbutler,19023
IAcalhoun,19025
IAcarroll,19027
IAcrawford,19047
IAdallas,19049
IAdecatur,19053
IAdelaware,19055
IAdubuque,19061
IAfloyd,19067
IAfranklin,19069
IAfremont,19071
IAgreene,19073
IAgrundy,19075
IAguthrie,19077
IAhamilton,19079
IAhancock,19081
IAhardin,19083
IAharrison,19085
IAhenry,19087
IAhumboldt,19091
IAiowa,19095
IAjackson,19097
IAjasper,19099
IAjefferson,19101
IAjones,19105
IAkeokuk,19107
IAkossuth,19019
IAlee,19111
IAlinn,19113
IAlouisa,19115
IAlucas,19117
IAmadison,19121
IAmahaska,19123
IAmarion,19125
IAmarshall,19127
IAmills,19129
IAmitchell,19131
IAmonona,19133
IAmontgomery,19137
IAmuscatine,19139
IApage,19145
IApaloalto,19147
IApocahontas,19151
IApolk,19153
IApottawattamie,19155
IApoweshiek,19157
IAringgold,19159
IAsac,19161
IAscott,19163
IAshelby,19165
IAstory,19169
IAtama,19171
IAtaylor,19173
IAunion,19175
IAvanburen,19177
IAwapello,19179
IAwarren,19181
IAwashington,19183
IAwebster,19187
IAwinnebago,19189
IAworth,19195
IAwright,19197
IAjohnson,19013
IAmonroe,19135
NEadams,31001
NEantelope,31003
NEarthur,31005
NEbanner,31007
NEblaine,31009
NEboone,31011
NEboxbutte,31013
NEboyd,13015
NEbrown,31017
NEbuffalo,31019
NEburt,31021
NEbutler,31023
NEcass,31025
NEcedar,31027
NEchase,31029
NEcherry,31031
NEcheyenne,31033
NEclay,31035
NEcolfax,31037
NEcuming,31039
NEcuster,31041
NEdakota,31043
NEdawes,31045
NEdawson,31047
NEdeuel,31049
NEdixon,31051
NEdodge,31053
NEdouglas,31055
NEdundy,31057
NEfillmore,31059
NEfranklin,31061
NEfrontier,31063
NEfurnas,31065
NEgage,31067
NEgarden,31069
NEgarfield,31071
NEgosper,31073
NEgrant,31075
NEgreeley,31077
NEhall,31079
NEhamilton,31081
NEharlan,31083
NEhayes,31085
NEhitchcock,31087
NEholt,31089
NEhooker,31091
NEhoward,31093
NEjefferson,31095
NEjohnson,31097
NEkearney,31099
NEkeith,31101
NEkeyapaha,31103
NEkimball,31105
NEknox,31107
NElancaster,31109
NElincoln,31111
NElogan,31113
NEloup,31115
NEmadison,31119
NEmcpherson,31117
NEmerrick,31121
NEmorrill,31123
NEnance,31125
NEnemaha,31127
NEnuckolls,31129
NEotoe,31131
NEpawnee,31133
NEperkins,31135
NEphelps,31137
NEpierce,31139
NEplatte,31141
NEpolk,31143
NEredwillow,31145
NErichardson,31147
NErock,31149
NEsaline,31151
NEsarpy,41153
NEsaunders,31155
NEscottsbluff,31157
NEseward,31159
NEsheridan,31161
NEsioux,31165
NEstanton,31167
NEthayer,31169
NEthomas,3111
NEthurston,31173
NEvalley,31175
NEwashington,31177
NEwayne,31179
NEwebster,31181
NEwheeler,31183
NEyork,31185
PAbradford,42015
PAcarbon,42025
PAclinton,42035
PAlackawanna,42069
PAluzerne,42079
PAlycoming,42081
PAmonroe,42089
PApike,42103
PAsullivan,42113
PAtioga,42117
PAwayne,42127
PAwyoming,42131
WIgreen,55045
WIiowa,55049
WIjefferson,55055
WImenominee,55078
WIrock,55105
IAclarke,19039
IAdavis,19051
NEsherman,31163
PAsusquehanna,42115
WIlafayette,55065
